"Huidig_Label"	"Doel_Label"	"oppervlak"	"vergoeding"
"G"	"A++"	"K"	34
"G"	"A+"	"K"	30
"G"	"A"	"K"	21
"G"	"B"	"K"	19
"G"	"C"	"K"	12
"G"	"D"	"K"	6
"G"	"E"	"K"	3
"G"	"F"	"K"	2
"F"	"A++"	"K"	32
"F"	"A+"	"K"	28
"F"	"A"	"K"	19
"F"	"B"	"K"	17
"F"	"C"	"K"	10
"F"	"D"	"K"	4
"F"	"E"	"K"	1
"E"	"A++"	"K"	31
"E"	"A+"	"K"	27
"E"	"A"	"K"	18
"E"	"B"	"K"	16
"E"	"C"	"K"	9
"E"	"D"	"K"	3
"D"	"A++"	"K"	28
"D"	"A+"	"K"	24
"D"	"A"	"K"	15
"D"	"B"	"K"	13
"D"	"C"	"K"	6
"C"	"A++"	"K"	22
"C"	"A+"	"K"	18
"C"	"A"	"K"	9
"C"	"B"	"K"	7
"B"	"A++"	"K"	15
"B"	"A+"	"K"	11
"B"	"A"	"K"	2
"A"	"A++"	"K"	13
"A"	"A+"	"K"	9
"A+"	"A++"	"K"	4
"G"	"A++"	"M"	43
"G"	"A+"	"M"	37
"G"	"A"	"M"	30
"G"	"B"	"M"	23
"G"	"C"	"M"	15
"G"	"D"	"M"	7
"G"	"E"	"M"	3
"G"	"F"	"M"	1
"F"	"A++"	"M"	42
"F"	"A+"	"M"	36
"F"	"A"	"M"	29
"F"	"B"	"M"	22
"F"	"C"	"M"	14
"F"	"D"	"M"	6
"F"	"E"	"M"	2
"E"	"A++"	"M"	40
"E"	"A+"	"M"	34
"E"	"A"	"M"	27
"E"	"B"	"M"	20
"E"	"C"	"M"	12
"E"	"D"	"M"	4
"D"	"A++"	"M"	36
"D"	"A+"	"M"	30
"D"	"A"	"M"	23
"D"	"B"	"M"	16
"D"	"C"	"M"	8
"C"	"A++"	"M"	28
"C"	"A+"	"M"	22
"C"	"A"	"M"	15
"C"	"B"	"M"	8
"B"	"A++"	"M"	20
"B"	"A+"	"M"	14
"B"	"A"	"M"	7
"A"	"A++"	"M"	13
"A"	"A+"	"M"	7
"A+"	"A++"	"M"	6
"G"	"A++"	"G"	48
"G"	"A+"	"G"	45
"G"	"A"	"G"	36
"G"	"B"	"G"	27
"G"	"C"	"G"	19
"G"	"D"	"G"	13
"G"	"E"	"G"	7
"G"	"F"	"G"	4
"F"	"A++"	"G"	44
"F"	"A+"	"G"	41
"F"	"A"	"G"	32
"F"	"B"	"G"	23
"F"	"C"	"G"	15
"F"	"D"	"G"	9
"F"	"E"	"G"	3
"E"	"A++"	"G"	41
"E"	"A+"	"G"	38
"E"	"A"	"G"	29
"E"	"B"	"G"	20
"E"	"C"	"G"	12
"E"	"D"	"G"	6
"D"	"A++"	"G"	35
"D"	"A+"	"G"	32
"D"	"A"	"G"	23
"D"	"B"	"G"	14
"D"	"C"	"G"	6
"C"	"A++"	"G"	29
"C"	"A+"	"G"	26
"C"	"A"	"G"	17
"C"	"B"	"G"	8
"B"	"A++"	"G"	21
"B"	"A+"	"G"	18
"B"	"A"	"G"	9
"A"	"A++"	"G"	12
"A"	"A+"	"G"	9
"A+"	"A++"	"G"	3
