Huidig_Label;Doel_Label;Woningtype;Huurpunten
G;A++;EGW;44
G;A+;EGW;40
G;A;EGW;36
G;B;EGW;32
G;C;EGW;22
G;D;EGW;14
G;E;EGW;8
G;F;EGW;4
F;A++;EGW;40
F;A+;EGW;36
F;A;EGW;32
F;B;EGW;28
F;C;EGW;18
F;D;EGW;10
F;E;EGW;4
E;A++;EGW;36
E;A+;EGW;32
E;A;EGW;28
E;B;EGW;24
E;C;EGW;14
E;D;EGW;6
D;A++;EGW;30
D;A+;EGW;26
D;A;EGW;22
D;B;EGW;18
D;C;EGW;8
C;A++;EGW;22
C;A+;EGW;18
C;A;EGW;14
C;B;EGW;10
B;A++;EGW;12
B;A+;EGW;8
B;A;EGW;4
G;A++;MGW;40
G;A+;MGW;36
G;A;MGW;32
G;B;MGW;28
G;C;MGW;15
G;D;MGW;11
G;E;MGW;5
G;F;MGW;1
F;A++;MGW;39
F;A+;MGW;35
F;A;MGW;31
F;B;MGW;27
F;C;MGW;14
F;D;MGW;10
F;E;MGW;4
E;A++;MGW;35
E;A+;MGW;31
E;A;MGW;27
E;B;MGW;23
E;C;MGW;10
E;D;MGW;6
D;A++;MGW;29
D;A+;MGW;25
D;A;MGW;21
D;B;MGW;17
D;C;MGW;4
C;A++;MGW;25
C;A+;MGW;21
C;A;MGW;17
C;B;MGW;13
B;A++;MGW;12
B;A+;MGW;8
B;A;MGW;4
