"Huurpunten"	"Huur_per_maand"
40	194.91
41	199.78
42	204.64
43	209.52
44	214.38
45	219.24
46	224.14
47	228.99
48	233.88
49	238.75
50	243.62
51	248.46
52	253.36
53	258.21
54	263.1
55	267.96
56	272.87
57	277.68
58	282.56
59	287.46
60	292.33
61	297.17
62	302.06
63	306.91
64	311.8
65	316.66
66	321.55
67	326.42
68	331.27
69	336.13
70	341
71	345.88
72	350.77
73	355.61
74	360.5
75	365.36
76	370.25
77	375.1
78	380
79	384.85
80	389.73
81	395.06
82	400.41
83	405.76
84	411.09
85	416.47
86	421.81
87	427.14
88	432.5
89	437.83
90	443.2
91	448.53
92	453.87
93	459.24
94	464.57
95	469.92
96	475.27
97	480.64
98	485.97
99	491.33
100	496.67
101	502.01
102	507.34
103	512.7
104	518.06
105	523.38
106	528.75
107	534.09
108	539.43
109	544.79
110	550.14
111	555.5
112	560.83
113	566.17
114	571.54
115	576.89
116	582.22
117	587.57
118	592.9
119	598.25
120	603.6
121	608.96
122	614.31
123	619.65
124	625.02
125	630.36
126	635.69
127	641.04
128	646.43
129	651.72
130	657.09
131	662.44
132	667.77
133	673.14
134	678.47
135	683.84
136	689.15
137	694.52
138	699.88
139	705.2
140	710.55
141	715.92
142	721.24
143	726.58
144	731.95
145	737.31
146	742.64
147	748
148	753.34
149	758.69
150	764.03
151	769.37
152	774.71
153	780.06
154	785.41
155	790.76
156	796.09
157	801.48
158	806.79
159	812.17
160	817.5
161	822.84
162	828.21
163	833.53
164	838.88
165	844.24
166	849.59
167	854.92
168	860.26
169	865.65
170	870.98
171	876.32
172	881.66
173	887.03
174	892.35
175	897.71
176	903.05
177	908.4
178	913.76
179	919.1
180	924.42
181	929.81
182	935.15
183	940.48
184	945.81
185	951.19
186	956.54
187	961.87
188	967.24
189	972.57
190	977.92
191	983.28
192	988.61
193	993.97
194	999.33
195	1004.67
196	1009.99
197	1015.35
198	1020.71
199	1026.03
200	1031.4
201	1036.73
202	1042.08
203	1047.42
204	1052.78
205	1058.13
206	1063.47
207	1068.84
208	1074.18
209	1079.52
210	1084.89
211	1090.21
212	1095.56
213	1100.91
214	1106.25
215	1111.6
216	1116.94
217	1122.3
218	1127.63
219	1132.99
220	1138.36
221	1143.67
222	1149.03
223	1154.38
224	1159.73
225	1165.06
226	1170.42
227	1175.77
228	1181.12
229	1186.48
230	1191.81
231	1197.15
232	1202.51
233	1207.85
234	1213.18
235	1218.55
236	1223.89
237	1229.24
238	1234.57
239	1239.94
240	1245.28
241	1250.63
242	1255.99
243	1261.32
244	1266.68
245	1272.03
246	1277.37
247	1282.69
248	1288.08
249	1293.4
250	1298.74
251	1303.99
252	1309.25
253	1314.5
254	1319.76
255	1325.02
256	1330.27
257	1335.53
258	1340.79
259	1346.04
260	1351.3
261	1356.55
262	1361.81
263	1367.07
264	1372.32
265	1377.58
266	1382.84
267	1388.09
268	1393.35
269	1398.61
270	1403.86
271	1409.12
272	1414.37
273	1419.63
274	1424.89
275	1430.14
276	1435.4
277	1440.66
278	1445.91
279	1451.17
280	1456.43
281	1461.68
282	1466.94
283	1472.19
284	1477.45
285	1482.71
286	1487.96
287	1493.22
288	1498.48
289	1503.73
290	1508.99
291	1514.24
292	1519.5
293	1524.76
294	1530.01
295	1535.27
296	1540.53
297	1545.78
298	1551.04
299	1556.3
300	1561.55
301	1566.81
302	1572.06
303	1577.32
304	1582.58
305	1587.83
306	1593.09
307	1598.35
308	1603.6
309	1608.86
310	1614.12
311	1619.37
312	1624.63
313	1629.88
314	1635.14
