"onderwerp"	"2000"	"2001"	"2002"	"2003"	"2004"	"2005"	"2006"	"2007"	"2008"	"2009"	"2010"	"2011"	"2012"	"2013"	"2014"	"2015"	"2016"	"2017"	"2018"	"2019"	"2020"	"2021"	"2022"	"2023"	"2024"	"2025"	"2026"	"2027"	"2028"	"2029"	"2030"	"2031"	"2032"	"2033"	"2034"	"2035"	"2036"	"2037"	"2038"	"2039"	"2040"	"2041"	"2042"	"2043"	"2044"	"2045"	"2046"	"2047"	"2048"	"2049"	"2050"
"Ventilatie"	0.81	0.83	0.86	0.88	0.90	0.93	0.95	0.97	1.00	1.02	1.04	1.07	1.09	1.11	1.14	1.16	1.18	1.21	1.23	1.26	1.28	1.30	1.33	1.35	1.37	1.40	1.42	1.44	1.47	1.49	1.51	1.54	1.56	1.58	1.61	1.63	1.66	1.68	1.70	1.73	1.75	1.77	1.80	1.82	1.84	1.87	1.89	1.91	1.94	1.96	1.99
"WKK"	1.48	1.44	1.40	1.36	1.32	1.28	1.24	1.19	1.15	1.11	1.06	0.97	0.93	0.91	0.91	0.90	0.90	0.90	0.90	0.90	0.90	0.90	0.90	0.90	0.90	0.90	0.90	0.90	0.90	0.90	0.90	0.90	0.90	0.90	0.90	0.90	0.90	0.90	0.90	0.90	0.90	0.90	0.90	0.90	0.90	0.90	0.90	0.90	0.90	0.90	0.90
"Zonneboiler"	1.19	1.18	1.18	1.17	1.17	1.16	1.16	1.15	1.15	1.14	1.14	1.13	1.13	1.12	1.12	1.11	1.11	1.10	1.10	1.09	1.09	1.08	1.08	1.07	1.07	1.06	1.06	1.05	1.05	1.04	1.04	1.03	1.03	1.02	1.02	1.01	1.01	1.00	1.00	0.99	0.99	0.98	0.98	0.97	0.97	0.96	0.96	0.95	0.95	0.94	0.94
"PV cellen"	1.50	1.46	1.41	1.36	1.31	1.26	1.21	1.17	1.12	1.07	0.74	0.71	0.70	0.70	0.70	0.70	0.70	0.70	0.70	0.70	0.70	0.70	0.70	0.70	0.70	0.70	0.70	0.70	0.70	0.70	0.70	0.70	0.70	0.70	0.70	0.70	0.70	0.70	0.70	0.70	0.70	0.70	0.70	0.70	0.70	0.70	0.70	0.70	0.70	0.70	0.70
"warmtepomp"	1.11	1.11	1.10	1.09	1.09	1.08	1.07	1.07	1.06	1.05	1.05	1.04	1.03	1.03	1.02	1.01	1.01	1.00	0.99	0.99	0.98	0.97	0.97	0.96	0.95	0.95	0.94	0.93	0.93	0.92	0.91	0.91	0.90	0.89	0.89	0.88	0.87	0.87	0.86	0.85	0.85	0.84	0.83	0.83	0.82	0.81	0.81	0.80	0.79	0.79	0.78
"isolatie"	0.97	0.98	1.00	1.02	1.03	1.05	1.06	1.08	1.09	1.11	1.12	1.14	1.15	1.17	1.18	1.20	1.21	1.23	1.24	1.26	1.27	1.29	1.31	1.32	1.34	1.35	1.37	1.38	1.40	1.41	1.43	1.44	1.46	1.47	1.49	1.50	1.52	1.53	1.55	1.56	1.58	1.59	1.61	1.63	1.64	1.66	1.67	1.69	1.70	1.72	1.73
"Default"	1.13	1.13	1.13	1.13	1.13	1.13	1.13	1.13	1.13	1.13	1.13	1.13	1.13	1.13	1.13	1.12	1.12	1.12	1.12	1.12	1.12	1.12	1.12	1.12	1.12	1.12	1.12	1.12	1.12	1.12	1.12	1.12	1.12	1.12	1.12	1.12	1.12	1.12	1.12	1.12	1.12	1.12	1.12	1.12	1.12	1.11	1.11	1.11	1.11	1.11	1.11
																																																			
																																																			
																																																			
																																																			
"Ventilatie"	63										82										100										118										137										155
"WKK"	164										117										100										100										100										100
"Zonneboiler"	109										105										100										95										91										86
"PV cellen"	214										106										100										100										100										100
"warmtepomp"	114										107										100										93										86										80
"isolatie"	76										88										100										112										124										136
"Default"	101										100										100										100										99										99
