		"BETA"	"P50P"
"RB_N1"	"Koop"	0.04	5
"RB_N2"	"Koop"	0.02	5
"RB_N3"	"Koop"	0.02	5
"RB_N4"	"Koop"	0.04	10
"RO_N1"	"Koop"	0.04	5
"RO_N2"	"Koop"	0.02	5
"RO_N3"	"Koop"	0.02	5
"RO_N4"	"Koop"	0.04	10
"DR_N1"	"Koop"	0.4	0.5
"DR_N2"	"Koop"	0.4	0.5
"DR_N3"	"Koop"	0.4	0.5
"DR_N4"	"Koop"	0.4	0.5
"PL_N1"	"Koop"	0.4	0.5
"PL_N2"	"Koop"	0.4	0.5
"PL_N3"	"Koop"	0.4	0.5
"PL_N4"	"Koop"	0.4	0.5
"VL_N1"	"Koop"	0.01	10
"VL_N2"	"Koop"	0.01	10
"VL_N3"	"Koop"	0.01	10
"VL_N4"	"Koop"	0.01	20
"MG_N1"	"Koop"	1	10
"MG_N2"	"Koop"	1	10
"MG_N3"	"Koop"	1	0.001
"MG_N4"	"Koop"	1	0.001
"MS_N1"	"Koop"	1	0.5
"MS_N2"	"Koop"	1	0.5
"MS_N3"	"Koop"	0.5	0.5
"MS_N4"	"Koop"	0.5	0.5
"DP_N1"	"Koop"	1	0.5
"DP_N2"	"Koop"	1	0.5
"DP_N3"	"Koop"	0.5	0.5
"DP_N4"	"Koop"	0.5	0.5
"DS_N1"	"Koop"	1	0.5
"DS_N2"	"Koop"	1	0.5
"DS_N3"	"Koop"	0.5	0.5
"DS_N4"	"Koop"	0.5	0.5
"KR_N1"	"Koop"	0.4	0.5
"KR_N2"	"Koop"	0.4	0.5
"KR_N3"	"Koop"	0.4	0.5
"KR_N4"	"Koop"	0.4	0.5
"RB_N1"	"PartHuur"	0.04	5
"RB_N2"	"PartHuur"	0.02	5
"RB_N3"	"PartHuur"	0.02	5
"RB_N4"	"PartHuur"	0.04	10
"RO_N1"	"PartHuur"	0.04	5
"RO_N2"	"PartHuur"	0.02	5
"RO_N3"	"PartHuur"	0.02	5
"RO_N4"	"PartHuur"	0.04	10
"DR_N1"	"PartHuur"	0.4	0.5
"DR_N2"	"PartHuur"	0.4	0.5
"DR_N3"	"PartHuur"	0.4	0.5
"DR_N4"	"PartHuur"	0.4	0.5
"PL_N1"	"PartHuur"	0.4	0.5
"PL_N2"	"PartHuur"	0.4	0.5
"PL_N3"	"PartHuur"	0.4	0.5
"PL_N4"	"PartHuur"	0.4	0.5
"VL_N1"	"PartHuur"	0.01	10
"VL_N2"	"PartHuur"	0.01	10
"VL_N3"	"PartHuur"	0.01	10
"VL_N4"	"PartHuur"	0.01	20
"MG_N1"	"PartHuur"	1	10
"MG_N2"	"PartHuur"	1	10
"MG_N3"	"PartHuur"	1	0.001
"MG_N4"	"PartHuur"	1	0.001
"MS_N1"	"PartHuur"	1	0.5
"MS_N2"	"PartHuur"	1	0.5
"MS_N3"	"PartHuur"	0.5	0.5
"MS_N4"	"PartHuur"	0.5	0.5
"DP_N1"	"PartHuur"	1	0.5
"DP_N2"	"PartHuur"	1	0.5
"DP_N3"	"PartHuur"	0.5	0.5
"DP_N4"	"PartHuur"	0.5	0.5
"DS_N1"	"PartHuur"	1	0.5
"DS_N2"	"PartHuur"	1	0.5
"DS_N3"	"PartHuur"	0.5	0.5
"DS_N4"	"PartHuur"	0.5	0.5
"KR_N1"	"PartHuur"	0.4	0.5
"KR_N2"	"PartHuur"	0.4	0.5
"KR_N3"	"PartHuur"	0.4	0.5
"KR_N4"	"PartHuur"	0.4	0.5
"RB_N1"	"WoonCorp"	0.04	5
"RB_N2"	"WoonCorp"	0.02	5
"RB_N3"	"WoonCorp"	0.02	5
"RB_N4"	"WoonCorp"	0.04	10
"RO_N1"	"WoonCorp"	0.04	5
"RO_N2"	"WoonCorp"	0.02	5
"RO_N3"	"WoonCorp"	0.02	5
"RO_N4"	"WoonCorp"	0.04	10
"DR_N1"	"WoonCorp"	0.4	0.5
"DR_N2"	"WoonCorp"	0.4	0.5
"DR_N3"	"WoonCorp"	0.4	0.5
"DR_N4"	"WoonCorp"	0.4	0.5
"PL_N1"	"WoonCorp"	0.4	0.5
"PL_N2"	"WoonCorp"	0.4	0.5
"PL_N3"	"WoonCorp"	0.4	0.5
"PL_N4"	"WoonCorp"	0.4	0.5
"VL_N1"	"WoonCorp"	0.01	10
"VL_N2"	"WoonCorp"	0.01	10
"VL_N3"	"WoonCorp"	0.01	10
"VL_N4"	"WoonCorp"	0.01	20
"MG_N1"	"WoonCorp"	1	10
"MG_N2"	"WoonCorp"	1	10
"MG_N3"	"WoonCorp"	1	0.001
"MG_N4"	"WoonCorp"	1	0.001
"MS_N1"	"WoonCorp"	1	0.5
"MS_N2"	"WoonCorp"	1	0.5
"MS_N3"	"WoonCorp"	0.5	0.5
"MS_N4"	"WoonCorp"	0.5	0.5
"DP_N1"	"WoonCorp"	1	0.5
"DP_N2"	"WoonCorp"	1	0.5
"DP_N3"	"WoonCorp"	0.5	0.5
"DP_N4"	"WoonCorp"	0.5	0.5
"DS_N1"	"WoonCorp"	1	0.5
"DS_N2"	"WoonCorp"	1	0.5
"DS_N3"	"WoonCorp"	0.5	0.5
"DS_N4"	"WoonCorp"	0.5	0.5
"KR_N1"	"WoonCorp"	0.01	0.5
"KR_N2"	"WoonCorp"	0.01	0.5
"KR_N3"	"WoonCorp"	0.01	0.5
"KR_N4"	"WoonCorp"	0.01	0.5
