utiliteittype_str;bouwjaar_str;categorie;V_WW;E_WW_GAS;E_WW_WARM;E_WW_ELEK;V_RV_vast;V_RV_var;V_P_ELEK;EG;E_RV_GAS;E_RV_WARM;E_RV_ELEK;V_KOU;E_KOU_ELEK;V_APP_ELEK;E_APP_ELEK;V_Vent;EnergieIndex;EnergieLabel;AC_WW;AC_RV;R_COLL;;;;MVB_EG_vast;MVB_EG_var;RB_FAC_B;MVB_EG_EUR_MIN_vast;MVB_EG_EUR_MIN_var;MVB_EG_EUR_MAX_vast;MVB_EG_EUR_MAX_var;MVC_EG_vast;MVC_EG_var;RB_FAC_C;MVC_EG_EUR_MIN_vast;MVC_EG_EUR_MIN_var;MVC_EG_EUR_MAX_vast;MVC_EG_EUR_MAX_var;MVF_EG_vast;MVF_EG_var;RB_FAC_F;MVF_EG_EUR_MIN_vast;MVF_EG_EUR_MIN_var;MVF_EG_EUR_MAX_vast;MVF_EG_EUR_MAX_var;MV_RV;K_LTAS_MIN;K_LTAS_MAX
Glastuinbouw, bloemen, belicht;onbekend;GLTB;0;0.72;1;nvt;0;0;;1;1.07;1;nvt;0;1;1.333.161.598;1;0;;;0;0;;;;;;0;;;;;;;0;;;;;;;0;;;;;;;;
Glastuinbouw, groente, belicht;onbekend;GLTB;0;0.72;1;nvt;0;0;;1;1.07;1;nvt;0;1;1.333.161.598;1;0;;;0;0;;;;;;0;;;;;;;0;;;;;;;0;;;;;;;;
Glastuinbouw, overig, belicht;onbekend;GLTB;0;0.72;1;nvt;0;0;;1;1.07;1;nvt;0;1;1.333.161.598;1;0;;;0;0;;;;;;0;;;;;;;0;;;;;;;0;;;;;;;;
Glastuinbouw, bloemen, verwarmd;onbekend;GLTB;0;0.72;1;nvt;0.941814;0;;1;1.07;1;nvt;0;1;0;1;0;;;0;0.165;0;;;;;0;;;;;;;0;;;;;;;0;;;;;;;;
Glastuinbouw, groente, verwarmd;onbekend;GLTB;0;0.72;1;nvt;1.092.042;0;;1;1.07;1;nvt;0;1;0;1;0;;;0;0.165;0;;;;;0;;;;;;;0;;;;;;;0;;;;;;;;
Glastuinbouw, overig, verwarmd;onbekend;GLTB;0;0.72;1;nvt;1.016.928;0;;1;1.07;1;nvt;0;1;0;1;0;;;0;0.165;0;;;;;0;;;;;;;0;;;;;;;0;;;;;;;;
Glastuinbouw, bloemen, onbelicht;onbekend;GLTB;0;0.72;1;nvt;0;0;;1;1.07;1;nvt;0;1;0;1;0;;;0;0;;;;;;0;;;;;;;0;;;;;;;0;;;;;;;;
Glastuinbouw, groente, onbelicht;onbekend;GLTB;0;0.72;1;nvt;0;0;;1;1.07;1;nvt;0;1;0;1;0;;;0;0;;;;;;0;;;;;;;0;;;;;;;0;;;;;;;;
Glastuinbouw, overig, onbelicht;onbekend;GLTB;0;0.72;1;nvt;0;0;;1;1.07;1;nvt;0;1;0;1;0;;;0;0;;;;;;0;;;;;;;0;;;;;;;0;;;;;;;;
Glastuinbouw, bloemen, onverwarmd;onbekend;GLTB;0;0.72;1;nvt;0;0;;1;1.07;1;nvt;0;1;0;1;0;;;0;0;0;;;;;0;;;;;;;0;;;;;;;0;;;;;;;;
Glastuinbouw, groente, onverwarmd;onbekend;GLTB;0;0.72;1;nvt;0;0;;1;1.07;1;nvt;0;1;0;1;0;;;0;0;0;;;;;0;;;;;;;0;;;;;;;0;;;;;;;;
Glastuinbouw, overig, onverwarmd;onbekend;GLTB;0;0.72;1;nvt;0;0;;1;1.07;1;nvt;0;1;0;1;0;;;0;0;0;;;;;0;;;;;;;0;;;;;;;0;;;;;;;;
