"type_str"	"bouwjaar_str"	"Default_label"
"Kantoor"	"0<=1920"	"G"
"Kantoor"	"1920<=1975"	"E"
"Kantoor"	"1975<=1990"	"C"
"Kantoor"	"1990<=1995"	"B"
"Kantoor"	"1995<=2019"	"B"
"Kantoor"	"onbekend"	"D"
"Winkel"	"0<=1920"	"G"
"Winkel"	"1920<=1975"	"E"
"Winkel"	"1975<=1990"	"C"
"Winkel"	"1990<=1995"	"B"
"Winkel"	"1995<=2019"	"B"
"Winkel"	"onbekend"	"D"
"Gezondheidszorg"	"0<=1920"	"G"
"Gezondheidszorg"	"1920<=1975"	"E"
"Gezondheidszorg"	"1975<=1990"	"C"
"Gezondheidszorg"	"1990<=1995"	"B"
"Gezondheidszorg"	"1995<=2019"	"B"
"Gezondheidszorg"	"onbekend"	"D"
"Logies"	"0<=1920"	"G"
"Logies"	"1920<=1975"	"E"
"Logies"	"1975<=1990"	"C"
"Logies"	"1990<=1995"	"B"
"Logies"	"1995<=2019"	"B"
"Logies"	"onbekend"	"D"
"Onderwijs"	"0<=1920"	"G"
"Onderwijs"	"1920<=1975"	"E"
"Onderwijs"	"1975<=1990"	"C"
"Onderwijs"	"1990<=1995"	"B"
"Onderwijs"	"1995<=2019"	"B"
"Onderwijs"	"onbekend"	"D"
"Industrie"	"0<=1920"	"G"
"Industrie"	"1920<=1975"	"E"
"Industrie"	"1975<=1990"	"C"
"Industrie"	"1990<=1995"	"B"
"Industrie"	"1995<=2019"	"B"
"Industrie"	"onbekend"	"D"
"Bijeenkomst"	"0<=1920"	"G"
"Bijeenkomst"	"1920<=1975"	"E"
"Bijeenkomst"	"1975<=1990"	"C"
"Bijeenkomst"	"1990<=1995"	"B"
"Bijeenkomst"	"1995<=2019"	"B"
"Bijeenkomst"	"onbekend"	"D"
"Sport"	"0<=1920"	"G"
"Sport"	"1920<=1975"	"E"
"Sport"	"1975<=1990"	"C"
"Sport"	"1990<=1995"	"B"
"Sport"	"1995<=2019"	"B"
"Sport"	"onbekend"	"D"
"Overig"	"0<=1920"	"G"
"Overig"	"1920<=1975"	"E"
"Overig"	"1975<=1990"	"C"
"Overig"	"1990<=1995"	"B"
"Overig"	"1995<=2019"	"B"
"Overig"	"onbekend"	"D"
"Cel"	"0<=1920"	"G"
"Cel"	"1920<=1975"	"E"
"Cel"	"1975<=1990"	"C"
"Cel"	"1990<=1995"	"B"
"Cel"	"1995<=2019"	"B"
"Cel"	"onbekend"	"D"
