Naam;Waarde;Eenheid;Bron;Beschrijving
R_WOS_onderhoud;0.03;_yr;Functioneel ontwerp 4.0 Bijlage A.8 Tabel 30;jaarlijkse onderhoudskosten warmteoverdrachtstations in warmtenetten
R_OS_onderhoud;0.03;_yr;Functioneel ontwerp 4.0 Bijlage A.8 Tabel 31;jaarlijkse onderhoudskosten onderstations in warmtenetten
R_OS_admin;0;_yr;Functioneel ontwerp 4.0 Bijlage A.8 Tabel 32;jaarlijkse administratiekosten onderstations in warmtenetten
R_Sec_onderhoud;0.01;_yr;Functioneel ontwerp 4.0 Bijlage A.8 Tabel 33;jaarlijkse onderhoudskosten secundaire leidingen GLTB in warmtenetten
R_pt_onderhoud;0.01;_yr;Functioneel ontwerp 4.0 Bijlage A.8 Tabel 34;jaarlijkse onderhoudskosten primaire transportleidingen in warmtenetten
R_pt_admin;0;_yr;Functioneel ontwerp 4.0 Bijlage A.8 Tabel 35;jaarlijkse administratiekosten primaire transportleidingen in warmtenetten
R_Inst_onderhoud;0.03;_yr;Functioneel ontwerp 4.0 Bijlage A.8 Tabel 36;jaarlijkse onderhoudskosten installaties in warmtenetten
R_Inst_admin;0.03;_yr;Functioneel ontwerp 4.0 Bijlage A.8 Tabel 37;jaarlijkse administratiekosten installaties in warmtenetten
R_lv_Admin;0.01;_yr;Functioneel ontwerp 4.0 Bijlage A.8 Tabel 38;Fractie van vastrecht dat de leveancier aan administratiekosten besteedt
R_id_onderhoud;0.025;_yr;Functioneel ontwerp 4.0 Bijlage A.8 Tabel 39;jaarlijkse onderhoudskosten inpandige distributie als percentage van de initiele investering
R_id_admin;0;_yr;Functioneel ontwerp 4.0 Bijlage A.8 Tabel 40;jaarlijkse administratiekosten inpandige distributie als percentage van de initiele investering
R_ow_onderhoud;0.05;_yr;Functioneel ontwerp 4.0 Bijlage A.8 Tabel 41;jaarlijkse onderhoudskosten opwekking aan de bron als percentage van de initiele investering
R_ow_admin;0.025;_yr;Functioneel ontwerp 4.0 Bijlage A.8 Tabel 42;jaarlijkse administratiekosten opwekking aan de bron als percentage van de initiele investering
R_wd_onderhoud;0.01;_yr;Functioneel ontwerp 4.0 Bijlage A.8 Tabel 43;jaarlijkse onderhoudskosten wijkdistributie als percentage van de initiele investering
R_wd_admin;0;_yr;Functioneel ontwerp 4.0 Bijlage A.8 Tabel 44;jaarlijkse administratiekosten wijkdistributie als percentage van de initiele investering
R_wpColl_onderhoud;0.035;_yr;Functioneel ontwerp 4.0 Bijlage A.8 Tabel 45;jaarlijkse onderhoudskostencollectieve warmtepomp als percentage van de initiele investering
R_wpColl_admin;0.025;_yr;Functioneel ontwerp 4.0 Bijlage A.8 Tabel 46;jaarlijkse administratiekosten collectieve warmtepomp als percentage van de initiele investering
R_buffer_onderhoud;0.025;_yr;Functioneel ontwerp 4.0 Bijlage A.8 Tabel 47;jaarlijkse onderhoudskosten seizoensbuffer als percentage van de initiele investering
R_buffer_admin;0.025;_yr;Functioneel ontwerp 4.0 Bijlage A.8 Tabel 48;jaarlijkse administratiekosten seizoensbuffer als percentage van de initiele investering
R_WKO_onderhoud;0.02;_yr;Functioneel ontwerp 4.0 Bijlage A.8 Tabel 49;jaarlijkse onderhoudskosten WKO systemen als percentage van de initiele investering
R_WKO_admin;0;_yr;Functioneel ontwerp 4.0 Bijlage A.8 Tabel 50;jaarlijkse administratiekosten WKO systemen als percentage van de initiele investering
R_TEO_onderhoud;0.045;_yr;Functioneel ontwerp 4.0 Bijlage A.8 Tabel 51;jaarlijkse onderhoudskosten TEO systemen als percentage van de initiele investering
R_TEO_admin;0;_yr;Functioneel ontwerp 4.0 Bijlage A.8 Tabel 52;jaarlijkse administratiekosten TEO systemen als percentage van de initiele investering
