Bouwjaarklasse;Bouwjaarklasse code;Oppervlakteklasse TNO code;Huishoudgrootte;Oppervlakteklasse TNO;Gecorrigeerd gasgebruik koken [m3]
<1930;0;1;1;<75;17.08646739
<1930;0;2;1;75-100;16.78281957
<1930;0;3;1;100-125;16.16793391
<1930;0;4;1;125-150;16.01068174
<1930;0;5;1;>150;15.5835613
<1930;0;1;2;<75;29.77021826
<1930;0;2;2;75-100;28.07137826
<1930;0;3;2;100-125;27.9049913
<1930;0;4;2;125-150;28.00898435
<1930;0;5;2;>150;26.67397652
<1930;0;1;3;<75;39.46227043
<1930;0;2;3;75-100;37.92764609
<1930;0;3;3;100-125;36.77263652
<1930;0;4;3;125-150;37.10630957
<1930;0;5;3;>150;35.29030522
<1930;0;1;4;<75;43.60547304
<1930;0;2;4;75-100;46.62163478
<1930;0;3;4;100-125;45.61258087
<1930;0;4;4;125-150;45.45773913
<1930;0;5;4;>150;44.51531652
<1930;0;1;5;<75;55.3302487
<1930;0;2;5;75-100;54.32590087
<1930;0;3;5;100-125;54.7032487
<1930;0;4;5;125-150;54.78030609
<1930;0;5;5;>150;53.52110261
1931-1959;1;1;1;<75;17.11078696
1931-1959;1;2;1;75-100;17.54401957
1931-1959;1;3;1;100-125;16.48069739
1931-1959;1;4;1;125-150;16.75540565
1931-1959;1;5;1;>150;14.73583435
1931-1959;1;1;2;<75;29.98709043
1931-1959;1;2;2;75-100;28.79033826
1931-1959;1;3;2;100-125;28.38945043
1931-1959;1;4;2;125-150;28.7839487
1931-1959;1;5;2;>150;25.71866
1931-1959;1;1;3;<75;39.72768609
1931-1959;1;2;3;75-100;38.64993478
1931-1959;1;3;3;100-125;37.27817739
1931-1959;1;4;3;125-150;37.89375652
1931-1959;1;5;3;>150;34.32555739
1931-1959;1;1;4;<75;43.29164783
1931-1959;1;2;4;75-100;48.02904174
1931-1959;1;3;4;100-125;45.92796522
1931-1959;1;4;4;125-150;46.74553304
1931-1959;1;5;4;>150;43.20828696
1931-1959;1;1;5;<75;55.14263652
1931-1959;1;2;5;75-100;55.73164348
1931-1959;1;3;5;100-125;55.05025565
1931-1959;1;4;5;125-150;56.08474348
1931-1959;1;5;5;>150;52.18577913
1960-1980;2;1;1;<75;15.10919348
1960-1980;2;2;1;75-100;16.65588913
1960-1980;2;3;1;100-125;15.3423887
1960-1980;2;4;1;125-150;13.93188261
1960-1980;2;5;1;>150;12.09936391
1960-1980;2;1;2;<75;27.15916261
1960-1980;2;2;2;75-100;27.78277652
1960-1980;2;3;2;100-125;26.92166783
1960-1980;2;4;2;125-150;25.33912174
1960-1980;2;5;2;>150;22.49052348
1960-1980;2;1;3;<75;36.65981478
1960-1980;2;2;3;75-100;37.57247043
1960-1980;2;3;3;100-125;35.76601217
1960-1980;2;4;3;125-150;34.32243913
1960-1980;2;5;3;>150;31.05331565
1960-1980;2;1;4;<75;41.33092174
1960-1980;2;2;4;75-100;46.65469217
1960-1980;2;3;4;100-125;44.36826087
1960-1980;2;4;4;125-150;42.51217826
1960-1980;2;5;4;>150;39.57474783
1960-1980;2;1;5;<75;52.55805739
1960-1980;2;2;5;75-100;54.39224522
1960-1980;2;3;5;100-125;53.42397739
1960-1980;2;4;5;125-150;51.68273478
1960-1980;2;5;5;>150;48.41992435
1980-1995;3;1;1;<75;15.62198478
1980-1995;3;2;1;75-100;16.27803913
1980-1995;3;3;1;100-125;13.76732739
1980-1995;3;4;1;125-150;13.3485287
1980-1995;3;5;1;>150;12.07843043
1980-1995;3;1;2;<75;27.84303739
1980-1995;3;2;2;75-100;27.34079652
1980-1995;3;3;2;100-125;24.82836783
1980-1995;3;4;2;125-150;24.44314783
1980-1995;3;5;2;>150;22.45167913
1980-1995;3;1;3;<75;37.39500696
1980-1995;3;2;3;75-100;37.09553913
1980-1995;3;3;3;100-125;33.60447391
1980-1995;3;4;3;125-150;33.37154174
1980-1995;3;5;3;>150;31.01336174
1980-1995;3;1;4;<75;41.90838348
1980-1995;3;2;4;75-100;46.09111913
1980-1995;3;3;4;100-125;42.29704696
1980-1995;3;4;4;125-150;41.87362348
1980-1995;3;5;4;>150;39.5680713
1980-1995;3;1;5;<75;53.26894435
1980-1995;3;2;5;75-100;53.84614783
1980-1995;3;3;5;100-125;51.25040609
1980-1995;3;4;5;125-150;50.9709487
1980-1995;3;5;5;>150;48.40991913
>1995;4;1;1;<75;11.13477391
>1995;4;2;1;75-100;10.8364587
>1995;4;3;1;100-125;10.99300783
>1995;4;4;1;125-150;13.78666826
>1995;4;5;1;>150;12.58432043
>1995;4;1;2;<75;21.9074087
>1995;4;2;2;75-100;20.70101478
>1995;4;3;2;100-125;21.30160522
>1995;4;4;2;125-150;25.08641826
>1995;4;5;2;>150;23.11208087
>1995;4;1;3;<75;31.02248696
>1995;4;2;3;75-100;29.84494174
>1995;4;3;3;100-125;29.97507652
>1995;4;4;3;125-150;34.05142783
>1995;4;5;3;>150;31.68458174
>1995;4;1;4;<75;36.76525217
>1995;4;2;4;75-100;38.41069913
>1995;4;3;4;100-125;38.4252
>1995;4;4;4;125-150;42.39123565
>1995;4;5;4;>150;40.19650609
>1995;4;1;5;<75;46.98989565
>1995;4;2;5;75-100;46.47113565
>1995;4;3;5;100-125;47.22460696
>1995;4;4;5;125-150;51.53738174
>1995;4;5;5;>150;49.0708087
