Oppervlakteklasse TNO code;Gezinsgrootte;Oppervlakteklasse TNO;gasverbruik warm water (m3)
1;1;<75;140.1269922663170
2;1;75-100;136.1287410109850
3;1;100-125;131.2236616074380
4;1;125-150;131.2264486555180
5;1;>150;127.6970363524790
1;2;<75;224.6900096810890
2;2;75-100;222.0871835874790
3;2;100-125;204.3339500484250
4;2;125-150;202.8881695034880
5;2;>150;196.0976458646000
1;3;<75;297.7542462774310
2;3;75-100;282.2709030175680
3;3;100-125;275.4183407220500
4;3;125-150;262.7508257483470
5;3;>150;257.7702309620480
1;4;<75;297.3259809464990
2;4;75-100;282.0727584700820
3;4;100-125;286.6461995701560
4;4;125-150;282.2667154449210
5;4;>150;270.9992151795090
1;5;<75;288.9135272455480
2;5;75-100;306.9872405772530
3;5;100-125;320.2765306886550
4;5;125-150;310.5937136642440
5;5;>150;315.4697219236600
