Inst_voor,Inst_na,Zst_Egw_Ind,Zst_Egw_Prj,Zst_Mgw_Ind,Zst_Mgw_Prj,Nat_Egw_Ind,Nat_Egw_Prj,Nat_Mgw_Ind,Nat_Mgw_Prj
Nat,Nat,0,0,0,0,0,0,0,0
Nat,Mec_Glk_oud,2799.21,2732.21,2630.26,2562.3,561.2,542.75,561.2,542.75
Nat,Mec_Glk_new,2799.21,2732.21,2630.26,2562.3,561.2,542.75,561.2,542.75
Nat,Mec_Wis,2799.21,2732.21,2630.26,2562.3,561.2,542.75,561.2,542.75
Mec_Glk_oud,Mec_Vst_Glk_oud,2481.71,2390.44,2299.18,2206.94,2316.65,2231.21,2135.09,2049.64
Mec_Glk_oud,Mec_Vst_Glk_new,2481.71,2390.44,2299.18,2206.94,2316.65,2231.21,2135.09,2049.64
Mec_Glk_oud,Mec_Vst_Wis,2481.71,2390.44,2299.18,2206.94,2316.65,2231.21,2135.09,2049.64
Mec_Glk_new,Mec_Vst_Glk_oud,2481.71,2390.44,2299.18,2206.94,2316.65,2231.21,2135.09,2049.64
Mec_Glk_new,Mec_Vst_Glk_new,2481.71,2390.44,2299.18,2206.94,2316.65,2231.21,2135.09,2049.64
Mec_Glk_new,Mec_Vst_Wis,2481.71,2390.44,2299.18,2206.94,2316.65,2231.21,2135.09,2049.64
Mec_Wis,Mec_Vst_Glk_oud,2481.71,2390.44,2299.18,2206.94,2316.65,2231.21,2135.09,2049.64
Mec_Wis,Mec_Vst_Glk_new,2481.71,2390.44,2299.18,2206.94,2316.65,2231.21,2135.09,2049.64
Mec_Wis,Mec_Vst_Wis,2481.71,2390.44,2299.18,2206.94,2316.65,2231.21,2135.09,2049.64
Nat,Bal_Vst_Wtw,5092.56,5003.23,4897.4,4809.04,4753.7,4670.2,4572.14,4488.63
Mec_Glk_oud,Bal_Vst_Wtw,4078.9,3989.57,4078.9,3989.57,3807.04,3724.51,3807.04,3724.51
Mec_Glk_new,Bal_Vst_Wtw,4078.9,3989.57,4078.9,3989.57,3807.04,3724.51,3807.04,3724.51
Mec_Wis,Bal_Vst_Wtw,4078.9,3989.57,4078.9,3989.57,3807.04,3724.51,3807.04,3724.51
Mec_Vst_Glk_oud,Bal_Vst_Wtw,3991.52,3902.19,3991.52,3902.19,3719.65,3637.12,3719.65,3637.12
Mec_Vst_Glk_new,Bal_Vst_Wtw,3991.52,3902.19,3991.52,3902.19,3719.65,3637.12,3719.65,3637.12
Mec_Vst_Wis,Bal_Vst_Wtw,3991.52,3902.19,3991.52,3902.19,3719.65,3637.12,3719.65,3637.12
Nat,Mec_Vst_Glk_new,3604.11,3512.84,3409.93,3318.66,3364.29,3278.85,3182.73,3097.28
Mec_Wis,Mec_Glk_new,544.97,524.79,544.97,524.79,478.11,459.27,478.11,459.27
Mec_Glk_oud,Mec_Glk_new,544.97,524.79,544.97,524.79,478.11,459.27,478.11,459.27
Mec_Glk_new,Mec_Glk_new,0,0,0,0,561.42,542.59,561.42,542.59
Mec_Vst_Wis,Mec_Vst_Glk_new,595.99,558.58,595.99,558.58,525.74,490.82,525.74,490.82
Mec_Vst_Glk_oud,Mec_Vst_Glk_new,595.99,558.58,595.99,558.58,525.74,490.82,525.74,490.82
Mec_Vst_Glk_new,Mec_Vst_Glk_new,0,0,0,0,690.67,650.65,690.67,650.65
Bal_Vst_Wtw,Bal_Vst_Wtw,0,0,0,0,1646.17,1514.02,1646.17,1514.02
